,name,main_speaker,Funny,Beautiful,Ingenious,Courageous,Longwinded,Confusing,Informative,Fascinating,Unconvincing,Persuasive,Jawdrop,Ok,Obnoxious,Inspiring,Total
692,Ken Robinson: Bring on the learning revolution!,Ken Robinson,3000,7631,2876,865,885,2199,1237,1248,1116,208,83,71,38,34,21491
2109,Robert Waldinger: What makes a good life? Lessons from the longest study on happiness,Robert Waldinger,8590,1661,3825,2868,2564,217,368,251,259,130,31,25,140,119,21048
108,Blaise Agüera y Arcas: How PhotoSynth can connect the world's images,Blaise Agüera y Arcas,632,1736,76,70,60,41,40,647,857,1623,14728,95,119,21,20745
29,Dan Gilbert: The surprising science of happiness,Dan Gilbert,1728,1166,241,444,174,169,248,3899,3554,4303,2355,1047,439,67,19834
1572,Kelly McGonigal: How to make stress your friend,Kelly McGonigal,5248,1994,3904,510,4678,71,888,645,697,438,56,230,347,68,19774
168,"Arthur Benjamin: A performance of ""Mathemagic""",Arthur Benjamin,3710,1944,340,817,429,2152,168,84,114,182,7196,314,128,151,17729
1776,Julian Treasure: How to speak so that people want to listen,Julian Treasure,2678,4133,5167,1801,697,735,650,810,270,48,152,153,43,49,17386
2011,Johann Hari: Everything you think you know about addiction is wrong,Johann Hari,2247,131,167,3734,4219,1849,1112,1897,106,15,488,21,497,94,16577
1747,Simon Sinek: Why good leaders make you feel safe,Simon Sinek,8569,1825,645,789,1149,1734,1293,154,45,81,24,190,50,20,16568
614,Jamie Oliver: Teach every child about food,Jamie Oliver,1413,3316,1547,4779,359,2606,99,844,297,470,249,113,109,69,16270
892,Sarah Kay: If I should have a daughter ...,Sarah Kay,1567,4986,4430,1220,498,116,76,77,1266,348,612,107,118,174,15595
5,Tony Robbins: Why we do what we do,Tony Robbins,1102,721,377,301,706,397,285,1038,5211,1350,2423,441,669,335,15356
1779,Simon Anholt: Which country does the most good for the world?,Simon Anholt,235,262,1311,6390,1074,86,63,869,49,3701,377,328,398,114,15257
47,Richard St. John: 8 secrets of success,Richard St. John,2966,576,213,1912,4978,43,777,638,457,27,1433,251,685,57,15013
30,Barry Schwartz: The paradox of choice,Barry Schwartz,1526,178,1201,400,277,2532,2427,2491,324,54,2478,521,421,115,14945
96,Richard Dawkins: Militant atheism,Richard Dawkins,3236,539,399,86,1203,663,192,1113,2935,934,2475,551,406,172,14904
1177,Brené Brown: Listening to shame,Brené Brown,577,480,4958,902,951,3269,960,1267,986,103,73,55,23,39,14643
2140,Celeste Headlee: 10 ways to have a better conversation,Celeste Headlee,1494,531,1843,1754,3599,30,1704,2853,199,38,200,115,35,26,14421
1646,"Andrew Solomon: Depression, the secret we share",Andrew Solomon,3178,4031,1253,2227,34,1710,171,442,282,145,30,30,142,112,13787
401,Pattie Maes + Pranav Mistry: Meet the SixthSense interaction,Pattie Maes + Pranav Mistry,444,2366,1079,2467,3371,186,1819,158,332,91,313,237,87,76,13026
973,Matt Cutts: Try something new for 30 days,Matt Cutts,6171,1977,1427,386,680,542,560,322,528,111,128,36,30,25,12923
1170,Larry Smith: Why you will fail to have a great career,Larry Smith,537,412,1082,4131,1960,1640,363,295,273,159,471,752,425,349,12849
117,Hans Rosling: New insights on poverty,Hans Rosling,218,730,1021,284,36,27,1544,1569,1265,29,5137,828,21,74,12783
1493,Rita Pierson: Every kid needs a champion,Rita Pierson,5946,981,1137,1640,1297,458,230,665,114,159,12,26,23,15,12703
2114,James Veitch: This is what happens when you reply to spam email,James Veitch,7731,1766,939,401,221,240,143,229,45,63,60,417,91,20,12366
154,VS Ramachandran: 3 clues to understanding your brain,VS Ramachandran,3847,2402,673,1458,215,969,25,77,31,52,1775,423,15,107,12069
1501,Angela Lee Duckworth: Grit: The power of passion and perseverance,Angela Lee Duckworth,4847,374,2420,1380,597,866,464,464,47,87,181,65,148,129,12069
451,Dan Ariely: Are we in control of our own decisions?,Dan Ariely,1194,2031,2309,97,2851,1448,1069,555,27,149,139,44,14,28,11955
919,Ric Elias: 3 things I learned while my plane crashed,Ric Elias,1942,327,5834,695,313,932,211,357,821,66,25,76,28,31,11658
492,"Alain de Botton: A kinder, gentler philosophy of success",Alain de Botton,633,3458,1759,1173,662,1393,985,613,207,246,70,65,35,53,11352
262,Keith Barry: Brain magic,Keith Barry,273,3715,803,206,2555,267,1819,336,252,505,161,137,208,79,11316
452,Mary Roach: 10 things you didn't know about orgasm,Mary Roach,363,4166,519,1752,2231,100,345,715,184,212,154,209,213,110,11273
172,Isabel Allende: Tales of passion,Isabel Allende,3528,1302,1696,82,1148,28,292,916,58,447,426,63,899,140,11025
1164,Bryan Stevenson: We need to talk about an injustice,Bryan Stevenson,3953,2113,764,1493,627,1049,454,113,107,70,37,49,27,16,10872
1651,Maysoon Zayid: I got 99 problems ... palsy is just one,Maysoon Zayid,2111,2779,3420,1107,269,180,580,175,97,50,22,14,9,5,10818
1384,Louie Schwartzberg: Nature. Beauty. Gratitude.,Louie Schwartzberg,4399,27,32,3422,793,131,176,352,98,1110,192,45,10,27,10814
1436,Esther Perel: The secret to desire in a long-term relationship,Esther Perel,1205,2253,1068,2146,2008,389,270,588,438,174,73,73,37,63,10785
23,"Helen Fisher: Why we love, why we cheat",Helen Fisher,780,177,864,345,249,2591,1083,2106,245,115,1513,394,207,111,10780
28,"Malcolm Gladwell: Choice, happiness and spaghetti sauce",Malcolm Gladwell,1668,1127,333,190,80,87,115,2004,1276,2082,1014,290,361,51,10678
675,"Sebastian Wernicke: Lies, damned lies and statistics (about TEDTalks)",Sebastian Wernicke,5552,1746,937,755,210,212,245,79,31,272,25,255,89,119,10527
148,Carolyn Porco: This is Saturn,Carolyn Porco,1768,1166,1224,73,880,61,47,65,15,4971,78,108,25,24,10505
2450,"Shah Rukh Khan: Thoughts on humanity, fame and love",Shah Rukh Khan,2626,3984,1259,327,1020,241,473,157,30,151,15,31,120,31,10465
2171,Dan Gross: Why gun violence can't be our new normal,Dan Gross,1545,3090,3024,1298,424,597,13,35,15,27,9,159,11,4,10251
925,"Eli Pariser: Beware online ""filter bubbles""",Eli Pariser,2514,1086,3467,1000,777,625,246,235,74,21,26,33,69,32,10205
1281,Jane McGonigal: The game that can give you 10 extra years of life,Jane McGonigal,709,3210,651,860,1233,871,1218,605,76,225,57,356,119,14,10204
215,Johnny Lee: Free or cheap Wii Remote hacks,Johnny Lee,843,1684,1338,3249,159,2368,132,89,159,80,8,14,9,15,10147
2057,Emilie Wapnick: Why some of us don't have one true calling,Emilie Wapnick,4572,1118,927,704,525,34,65,24,932,152,531,277,196,14,10071
1710,"Hugh Herr: The new bionics that let us run, climb and dance",Hugh Herr,1909,2836,1105,775,1597,789,705,35,129,11,121,14,10,12,10048
1036,Pamela Meyer: How to spot a liar,Pamela Meyer,1312,866,95,2076,3306,493,406,221,331,321,139,63,174,140,9943
1502,Ken Robinson: How to escape education's death valley,Ken Robinson,24,16,1541,1434,1233,3018,419,252,559,911,385,14,72,8,9886
1981,Esther Perel: Rethinking infidelity ... a talk for anyone who has ever loved,Esther Perel,2479,2199,361,1760,761,426,877,310,359,62,141,40,21,33,9829
687,William Li: Can we eat to starve cancer?,William Li,1771,1712,2364,1576,653,968,260,69,27,170,20,119,29,35,9773
641,Jane McGonigal: Gaming can make a better world,Jane McGonigal,1541,2421,1139,453,118,547,1137,774,481,221,511,185,93,112,9733
885,Sal Khan: Let's use video to reinvent education,Sal Khan,1971,1258,2681,918,787,989,258,172,258,243,45,29,53,42,9704
157,Matthieu Ricard: The habits of happiness,Matthieu Ricard,245,3774,400,1621,88,1170,863,106,194,109,618,139,268,28,9623
2340,Jia Jiang: What I learned from 100 days of rejection,Jia Jiang,1856,3085,786,767,727,280,1417,71,430,133,7,7,11,1,9578
1769,Ruth Chang: How to make hard choices,Ruth Chang,1721,477,1233,2867,264,267,1050,142,463,311,446,101,55,80,9477
835,Sheryl Sandberg: Why we have too few women leaders,Sheryl Sandberg,3817,1084,1149,1360,447,128,228,466,129,171,236,86,52,51,9404
1447,Amanda Palmer: The art of asking,Amanda Palmer,753,1647,1658,3013,762,211,261,178,380,81,116,71,38,24,9193
644,Sam Harris: Science can answer moral questions,Sam Harris,923,2090,1029,1246,612,128,259,1316,348,149,557,100,157,215,9129
916,Kathryn Schulz: On being wrong,Kathryn Schulz,2626,649,1250,959,550,462,683,652,400,202,228,259,73,129,9122
1038,Bunker Roy: Learning from a barefoot movement,Bunker Roy,3192,952,548,789,1295,26,146,770,422,661,241,30,34,10,9116
833,Ken Robinson: Changing education paradigms,Ken Robinson,1452,1460,1364,1803,27,330,893,634,574,280,118,22,41,34,9032
294,Jonathan Haidt: The moral roots of liberals and conservatives,Jonathan Haidt,493,1666,1579,1451,169,1788,199,274,315,399,70,89,218,233,8943
1413,Andy Puddicombe: All it takes is 10 mindful minutes,Andy Puddicombe,1228,384,3410,73,1404,410,829,561,134,79,197,112,48,13,8882
1452,Shane Koyczan: To This Day ... for the bullied and beautiful,Shane Koyczan,2854,1812,789,2376,92,300,230,197,42,109,18,7,4,35,8865
384,Barry Schwartz: Our loss of wisdom,Barry Schwartz,1859,3420,356,98,190,639,706,658,48,376,257,48,118,38,8811
843,Neil Pasricha: The 3 A's of awesome,Neil Pasricha,596,4019,861,1285,556,569,217,184,143,156,102,58,37,17,8800
43,Michael Shermer: Why people believe weird things,Michael Shermer,2751,151,509,136,51,1344,373,799,109,37,1958,133,237,157,8745
2042,BJ Miller: What really matters at the end of life,BJ Miller,2462,612,3028,29,1331,74,409,418,96,78,131,29,24,15,8736
653,Derek Sivers: How to start a movement,Derek Sivers,929,2417,1050,827,312,238,210,729,226,45,19,11,32,1660,8705
2347,Laura Vanderkam: How to gain control of your free time,Laura Vanderkam,1851,2906,367,664,133,355,305,34,1361,377,210,70,25,14,8672
819,Jason Fried: Why work doesn't happen at work,Jason Fried,506,584,496,1776,131,643,1520,1254,596,631,117,230,95,56,8635
1416,"Cameron Russell: Looks aren't everything. Believe me, I'm a model.",Cameron Russell,92,124,612,986,2306,1617,497,924,632,119,302,77,231,101,8620
990,Julian Treasure: 5 ways to listen better,Julian Treasure,74,532,164,2334,2027,577,1219,984,229,83,132,92,60,52,8559
607,JK Rowling: The fringe benefits of failure,JK Rowling,18,3436,969,1288,498,745,98,422,322,371,245,14,18,40,8484
1885,Carol Dweck: The power of believing that you can improve,Carol Dweck,904,1612,3079,847,262,117,105,635,344,215,87,74,39,44,8364
89,Evelyn Glennie: How to truly listen,Evelyn Glennie,122,1535,397,312,33,107,483,2061,49,1291,1587,218,114,29,8338
9,Rick Warren: A life of purpose,Rick Warren,838,767,476,116,306,111,304,2556,459,26,1543,371,245,209,8327
13,Jeff Han: The radical promise of the multi-touch interface,Jeff Han,1014,277,34,55,104,19,32,461,471,919,4643,77,23,188,8317
422,"Bonnie Bassler: How bacteria ""talk""",Bonnie Bassler,2710,1690,291,1071,924,397,802,55,169,34,85,18,18,36,8300
